City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,enewetak,11.3474,162.3373,27.24,66,96,10.46,MH,1740331254
1,adamstown,-25.066,-130.1015,25.18,73,8,3.41,PN,1740331014
2,port elizabeth,-33.918,25.5701,21.84,96,40,3.09,ZA,1740331197
3,mata-utu,-13.2816,-176.1745,28.39,78,100,10.71,WF,1740331257
4,keflavik,64.0049,-22.5624,5.24,93,75,5.66,IS,1740331258
5,tura,25.5198,90.2201,18.72,46,1,2.13,IN,1740331259
6,klaksvik,62.2266,-6.589,8.2,86,99,17.19,FO,1740331260
7,wailua homesteads,22.0669,-159.378,19.44,94,0,2.06,US,1740331262
8,kerikeri,-35.2268,173.9474,12.63,94,12,1.89,NZ,1740331263
9,port mathurin,-19.6833,63.4167,27.61,77,99,6.33,MU,1740331264
10,isafjordur,66.0755,-23.124,3.02,70,100,11.32,IS,1740331267
11,horta,38.5333,-28.6333,14.8,96,75,2.06,PT,1740331268
12,oamaru,-45.0784,170.9801,12.99,90,84,1.68,NZ,1740331269
13,vilyuchinsk,52.9306,158.4028,-6.85,92,97,3.53,RU,1740331270
14,albany,42.6001,-73.9662,1.97,61,44,1.34,US,1740331164
15,edinburgh of the seven seas,-37.0676,-12.3116,18.44,77,42,5.31,SH,1740331397
16,acapulco de juarez,16.8634,-99.8901,28.9,70,0,3.09,MX,1740331398
17,waitangi,-43.9535,-176.5597,14.34,82,25,7.15,NZ,1740331399
18,stanley,54.868,-1.6985,10.01,86,75,7.72,GB,1740331400
19,east london,-33.0153,27.9116,23.62,88,83,3.79,ZA,1740331401
20,punta arenas,-53.15,-70.9167,10.06,66,75,4.63,CL,1740331346
21,port-aux-francais,-49.35,70.2167,6.09,85,31,8.51,TF,1740331404
22,iqaluit,63.7506,-68.5145,-27.15,58,40,3.09,CA,1740331405
23,arraial do cabo,-22.9661,-42.0278,33.98,70,20,9.26,BR,1740331406
24,arar,30.9753,41.0381,10.01,27,0,4.12,SA,1740331387
25,papatowai,-46.5619,169.4708,9.89,95,42,2.44,NZ,1740331408
26,blackmans bay,-43.0167,147.3167,15.96,58,79,0.89,AU,1740331410
27,kodiak,57.79,-152.4072,-1.27,93,20,2.06,US,1740331411
28,kuqa,41.7278,82.9364,1.02,45,0,2.03,CN,1740331412
29,visselhovede,52.9833,9.6,7.05,82,48,2.74,DE,1740331413
30,utrik,11.2278,169.8474,26.46,75,100,9.71,MH,1740331414
31,beidao,34.5686,105.8933,0.06,43,100,1.41,CN,1740331416
32,valparaiso,-33.0393,-71.6273,22.48,61,100,7.72,CL,1740331307
33,taltal,-25.4,-70.4833,21.88,73,11,2.33,CL,1740331418
34,hammerfest,70.6634,23.6821,6.25,61,75,4.12,NO,1740331419
35,margaret river,-33.95,115.0667,13.25,83,18,4.35,AU,1740331422
36,pacific grove,36.6177,-121.9166,15.79,79,0,2.06,US,1740331423
37,al jawf,29.5,38.75,9.39,39,61,4.97,SA,1740331424
38,vorgashor,67.5833,63.95,-6.86,95,100,7.48,RU,1740331425
39,tsiombe,-25.3,45.4833,25.09,91,100,3.5,MG,1740331426
40,levuka,50.1834,-105.4011,3.84,94,100,7.84,CA,1740331428
41,bilibino,68.0546,166.4372,-29.56,99,100,0.96,RU,1740331429
42,baraki barak,33.9675,68.9486,-2.12,78,62,1.68,AF,1740331430
43,coxim,-18.5067,-54.76,34.72,44,49,2.14,BR,1740331431
44,holualoa,19.6228,-155.9522,19.91,75,0,2.06,US,1740331433
45,dudinka,69.4058,86.1778,-17.68,96,100,9.55,RU,1740331204
46,ushuaia,-54.8,-68.3,11.81,47,40,8.75,AR,1740331423
47,nova sintra,14.8667,-24.7167,22.43,77,0,9.5,CV,1740331437
48,puerto ayora,-0.7393,-90.3518,28.08,90,77,1.34,EC,1740331439
49,new norfolk,-42.7826,147.0587,16.62,64,64,3.0,AU,1740331440
50,atafu village,-8.5421,-172.5159,28.09,66,99,7.83,TK,1740331441
51,mili,6.0815,171.735,27.16,78,95,10.67,MH,1740331442
52,lihue,21.9789,-159.3672,19.77,94,0,2.06,US,1740331443
53,bhuj,23.2667,69.6667,23.66,33,0,2.9,IN,1740331289
54,garachico,28.7781,-17.7646,17.06,68,75,4.63,ES,1740331446
55,gaeta,41.2183,13.5628,13.19,81,91,3.53,IT,1740331405
56,west island,-12.1568,96.8225,25.99,94,75,3.09,CC,1740331448
57,grytviken,-54.2811,-36.5092,11.57,77,100,5.64,GS,1740331449
58,ilulissat,69.2167,-51.1,-10.99,73,100,7.2,GL,1740331450
59,san patricio,28.017,-97.5169,9.97,64,5,3.76,US,1740331452
60,kavaratti,10.5669,72.642,27.91,76,2,2.27,IN,1740331453
61,magadan,59.5667,150.8,-18.47,79,100,3.27,RU,1740331454
62,kailua-kona,19.6406,-155.9956,21.98,72,0,2.06,US,1740331455
63,nyuzen,36.9333,137.5,1.47,74,95,2.64,JP,1740331456
64,mellrichstadt,50.4333,10.3167,9.43,74,29,1.4,DE,1740331458
65,pisco,-13.7,-76.2167,26.68,69,0,4.12,PE,1740331459
